읍면동명,업종,이용금액,이용자수,1인당 이용금액
건입동,문화/레져,223620000.0,3672,60898.69281045752
건입동,소매,94199842200.0,474982,198322.9726600166
건입동,쇼핑,47690217740.0,1121544,42521.9320329831
건입동,숙박,115539684844.0,398170,290176.77083657734
건입동,식음료,167105961720.0,2319554,72042.28128338465
구좌읍,문화/레져,2758987200.0,41928,65802.97653119634
구좌읍,소매,3434054400.0,48168,71293.2735426009
구좌읍,쇼핑,3448811280.0,119160,28942.692849949646
구좌읍,숙박,3676617600.0,33792,108801.42045454546
구좌읍,식음료,9971190000.0,265656,37534.21718312404
남원읍,문화/레져,12542070528.0,40368,310693.3840665874
남원읍,소매,5382240000.0,42432,126843.89140271493
남원읍,쇼핑,721728960.0,17592,41025.97544338336
남원읍,숙박,11464000000000.0,111216,103078693.7131348
남원읍,식음료,3953145600.0,45528,86828.8877174486
노형동,문화/레져,1041091200.0,24096,43205.97609561753
노형동,소매,1353201113040.0,19258800,70264.04101190105
노형동,쇼핑,1966000000000.0,19058376,103156.7432608109
노형동,숙박,3555265613576.0,398184,8928700.33345388
노형동,식음료,382321812240.0,4294728,89021.19348186893
대정읍,문화/레져,56335200.0,2952,19083.739837398374
대정읍,소매,1335408000.0,27840,47967.24137931035
대정읍,쇼핑,8279013120.0,157632,52521.1449451888
대정읍,숙박,383680800.0,4464,85950.0
대정읍,식음료,7858871760.0,97968,80218.76286134247
대천동,문화/레져,15519000.0,739,21000.0
대천동,소매,1269910000.0,3544,358326.7494356659
대천동,쇼핑,2681287030.0,57758,46422.78177914748
대천동,숙박,9267575208.0,24872,372610.77549051144
대천동,식음료,2151058800.0,33446,64314.381390898765
도두동,문화/레져,383640000.0,3696,103798.7012987013
도두동,소매,271718400.0,5112,53153.05164319249
도두동,쇼핑,2778002400.0,134040,20725.174574753804
도두동,숙박,4357315176.0,28440,153210.80084388185
도두동,식음료,13138944000.0,103656,126755.2674230146
동홍동,문화/레져,3050400.0,744,4100.0
동홍동,소매,986514200.0,9539,103419.03763497222
동홍동,쇼핑,102916621250.0,618336,166441.2572614242
동홍동,식음료,7768993800.0,79558,97651.9495211041
봉개동,문화/레져,713146400.0,2217,321671.8087505638
봉개동,소매,1337525700.0,12467,107285.28916339135
봉개동,쇼핑,329202870.0,16480,19975.902305825242
봉개동,숙박,1050204000.0,3678,285536.70473083196
봉개동,식음료,70185000.0,3797,18484.329734000527
삼도1동,문화/레져,94193500.0,2045,46060.39119804401
삼도1동,소매,7978870500.0,46803,170477.75783603615
삼도1동,쇼핑,2732322780.0,125434,21782.951831241928
삼도1동,숙박,31053263251.0,155697,199446.76680347085
삼도1동,식음료,3146597898.0,73103,43043.34839883452
삼도2동,문화/레져,693904080.0,7392,93872.3051948052
삼도2동,소매,14947080000.0,101712,146954.93157149598
삼도2동,쇼핑,40068594960.0,1580376,25353.836656593114
삼도2동,숙박,258918139944.0,886200,292166.71174001356
삼도2동,식음료,89862117120.0,856416,104928.11568209842
삼양동,소매,205162000.0,3462,59261.120739456965
삼양동,쇼핑,744058840.0,28526,26083.532216223797
삼양동,숙박,177684960.0,2182,81432.15398716774
삼양동,식음료,953054800.0,16196,58845.07285749568
서홍동,쇼핑,103377130.0,8554,12085.238484919337
서홍동,식음료,1042100000.0,18387,56675.912329363135
성산읍,문화/레져,10531405200.0,106104,99255.49649400589
성산읍,소매,21018216960.0,560448,37502.528263103806
성산읍,쇼핑,13081774080.0,794400,16467.49003021148
성산읍,숙박,5356148278656.0,471024,11371285.281972893
성산읍,식음료,94542163200.0,1382232,68398.18727970413
송산동,소매,585004300.0,10158,57590.50009844457
송산동,쇼핑,3170632580.0,209339,15145.923979764879
송산동,숙박,30237450417.0,167210,180835.17981580048
송산동,식음료,14657959700.0,147450,99409.6961681926
아라동,문화/레져,226800000.0,720,315000.0
아라동,소매,4130712000.0,61992,66632.98490127758
아라동,쇼핑,2802594000.0,106680,26271.03487064117
아라동,숙박,10753949544.0,28680,374963.3732217573
아라동,식음료,7169137200.0,65136,110064.13043478261
안덕면,문화/레져,153902851464.0,2429016,63360.16373049827
안덕면,소매,77447243040.0,337464,229497.79247564185
안덕면,쇼핑,23954051520.0,748056,32021.735698931632
안덕면,숙박,309401316048.0,1465704,211093.99718360597
안덕면,식음료,239986739280.0,3446664,69628.70163149062
애월읍,문화/레져,67111635600.0,777000,86372.7613899614
애월읍,소매,35370340800.0,200400,176498.70658682636
애월읍,쇼핑,14828990712.0,655320,22628.62527009705
애월읍,숙박,31004887056.0,150936,205417.44220066784
애월읍,식음료,59875626240.0,1759464,34030.60604820559
연동,문화/레져,16734196800.0,645432,25927.12601792288
연동,소매,9113000000000.0,36051672,252776.07096835898
연동,쇼핑,69370000000000.0,76776576,903530.7852228263
연동,숙박,1047080902120.0,4267560,245358.21455820187
연동,식음료,820928779440.0,15765480,52071.28355368818
영천동,문화/레져,563360000.0,4263,132151.0673234811
영천동,소매,334028000.0,2956,113000.0
영천동,쇼핑,6946714160.0,67059,103591.07890066956
영천동,숙박,665532600.0,6507,102279.4836330106
영천동,식음료,5752248500.0,36420,157942.02361339924
예래동,문화/레져,27620820000.0,136392,202510.5578039768
예래동,소매,122750887200.0,526752,233033.547475852
예래동,쇼핑,3540241469600.0,4691544,754600.5045673663
예래동,숙박,1217859162704.0,1560192,780582.8787123637
예래동,식음료,353172864720.0,2850744,123887.9621319908
오라동,문화/레져,652789920.0,3672,177775.03267973856
오라동,소매,3626865600.0,15480,234293.6434108527
오라동,쇼핑,777748890.0,49844,15603.66122301581
오라동,숙박,1734792000.0,10344,167709.97679814385
오라동,식음료,13235855600.0,49329,268317.9387378621
외도동,문화/레져,49104000.0,744,66000.0
외도동,소매,174760600.0,7832,22313.661899897856
외도동,쇼핑,3162212980.0,97807,32331.151962538468
외도동,숙박,18575637856.0,75689,245420.57440314975
외도동,식음료,2433684600.0,52359,46480.731106400046
용담1동,문화/레져,53847840.0,2058,26165.131195335278
용담1동,소매,859869000.0,9222,93241.05400130124
용담1동,쇼핑,593782860.0,65852,9016.929781935249
용담1동,숙박,873511200.0,13731,63615.99300852086
용담1동,식음료,1437900300.0,25525,56333.01860920666
용담2동,문화/레져,859327200.0,6648,129261.01083032491
용담2동,소매,38635066320.0,603864,63979.747625293116
용담2동,쇼핑,5695000000000.0,29144640,195404.71249601984
용담2동,숙박,9682700160.0,84504,114582.74353876739
용담2동,식음료,199085975208.0,5770104,34503.01332662288
우도면,문화/레져,44360000.0,1480,29972.972972972973
우도면,소매,2990300500.0,78868,37915.257138509915
우도면,쇼핑,626358320.0,78276,8001.920384281261
우도면,숙박,620440000.0,4456,139236.98384201078
우도면,식음료,13356711300.0,478952,27887.369297967227
이도1동,문화/레져,95790000.0,1457,65744.68085106384
이도1동,소매,40864346800.0,325750,125446.95871066769
이도1동,쇼핑,1793216510.0,93927,19091.5978366178
이도1동,숙박,6690896400.0,34464,194141.60863509748
이도1동,식음료,3419261500.0,135124,25304.62020070454
이도2동,문화/레져,4920823200.0,173472,28366.671278361926
이도2동,소매,448162296120.0,1035504,432796.29641218187
이도2동,쇼핑,29868993840.0,520368,57399.7514066968
이도2동,숙박,35345613000.0,175968,200863.86729405346
이도2동,식음료,10340793840.0,243168,42525.30694828267
이호동,문화/레져,12784500.0,2927,4367.7827126750935
이호동,소매,539324111260.0,1438953,374803.14594013843
이호동,쇼핑,1287943280.0,67848,18982.77443697677
이호동,숙박,2600933600.0,8753,297147.67508282873
이호동,식음료,2179435400.0,31254,69733.00697510719
일도1동,문화/레져,29441714720.0,844858,34848.12207495224
일도1동,소매,938425635695.0,5605898,167399.6986200962
일도1동,쇼핑,10829133900.0,369417,29314.119003727494
일도1동,숙박,983552000.0,6085,161635.4971240756
일도1동,식음료,8238525200.0,311555,26443.245012919066
일도2동,문화/레져,263348000.0,36062,7302.645443957628
일도2동,소매,1195961000.0,13696,87321.91880841121
일도2동,쇼핑,9570650220.0,404735,23646.707648214262
일도2동,숙박,1366647600.0,7068,193357.04584040746
일도2동,식음료,4748641100.0,125341,37885.77640197541
정방동,문화/레져,4105764800.0,124912,32869.25835788395
정방동,소매,49054282520.0,356142,137737.98799355314
정방동,쇼핑,9533090260.0,561520,16977.294237070808
정방동,숙박,77188940204.0,351912,219341.59734251746
정방동,식음료,35151487400.0,602736,58319.8737092193
조천읍,문화/레져,17651868000.0,630936,27977.271862756286
조천읍,소매,3231040320.0,56472,57214.90862728432
조천읍,쇼핑,11057096160.0,355320,31118.699088145895
조천읍,숙박,23920872792.0,94656,252713.7507606491
조천읍,식음료,14845521600.0,273672,54245.672191528545
중문동,문화/레져,54287371400.0,863260,62886.46688135672
중문동,소매,2865371500.0,37971,75462.10265729109
중문동,쇼핑,18342680220.0,278382,65890.32415888958
중문동,숙박,156467282335.0,253428,617403.2953541045
중문동,식음료,27035139000.0,281667,95982.62842292494
중앙동,문화/레져,34787000.0,2947,11804.207668815745
중앙동,소매,44043525700.0,370443,118894.20423654921
중앙동,쇼핑,11898684900.0,303661,39184.1062895795
중앙동,숙박,5851866132.0,43027,136004.51186464314
중앙동,식음료,7612666000.0,177156,42971.53920838131
천지동,문화/레져,298019000.0,17377,17150.19853829775
천지동,소매,39592170920.0,348972,113453.71812065151
천지동,쇼핑,5173094350.0,312155,16572.197626179302
천지동,숙박,29062789841.0,219257,132551.25191442008
천지동,식음료,18026877000.0,451663,39912.22880776154
표선면,문화/레져,3225088800.0,52704,61192.48633879781
표선면,소매,1466319968000.0,5204256,281754.00441484817
표선면,쇼핑,3056301600.0,89376,34195.998925886146
표선면,숙박,1786137264.0,15984,111745.32432432432
표선면,식음료,7564932720.0,107664,70264.2732946946
한림읍,문화/레져,3236640011584.0,160512,20164473.756379586
한림읍,소매,21563005200.0,105720,203963.3484676504
한림읍,쇼핑,8953496880.0,242856,36867.51358829924
한림읍,숙박,6987893809680.0,174816,39972850.36655684
한림읍,식음료,13874992800.0,337752,41080.41640019896
화북동,소매,75840000.0,1464,51803.27868852459
화북동,쇼핑,3069767740.0,132773,23120.42162186589
화북동,식음료,323615000.0,5603,57757.45136534
효돈동,소매,29328000.0,2187,13410.150891632373
효돈동,쇼핑,185720350.0,10179,18245.441595441596
효돈동,식음료,280221600.0,8580,32659.86013986014
