,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,창업비용,매출ratio
21,예래동,86633,35932357350,숙박업,49,733313415.3061224,143000000,5.128065841301555
35,중앙동,37251,4961156042,숙박업,9,551239560.2222222,143000000,3.8548220994560993
16,아라동,6726,1503657825,숙박업,3,501219275.0,143000000,3.505029895104895
19,연동,113609,26611999012,숙박업,79,336860746.98734176,143000000,2.3556695593520405
11,삼도2동,33790,8892444353,숙박업,31,286853043.64516133,143000000,2.0059653401759534
32,정방동,37251,4961156042,숙박업,26,190813693.92307693,143000000,1.334361495965573
34,중문동,26094,6049035956,숙박업,33,183304119.87878788,143000000,1.2818469921593558
15,송산동,54406,6949964649,숙박업,49,141836013.24489796,143000000,0.9918602324818039
4,대륜동,18041,2911563415,숙박업,22,132343791.59090908,143000000,0.9254810600762873
6,대천동,15421,2201327226,숙박업,18,122295957.0,143000000,0.8552164825174825
20,영천동,17544,1954415806,숙박업,16,122150987.875,143000000,0.8542027124125874
36,천지동,39617,5301503776,숙박업,44,120488722.1818182,143000000,0.8425784767959315
3,노형동,16191,3283181817,숙박업,28,117256493.46428572,143000000,0.8199754787712288
0,건입동,19244,3021186198,숙박업,26,116199469.15384616,143000000,0.8125837003765466
28,이도2동,14356,2678538529,숙박업,26,103020712.65384616,143000000,0.7204245640129102
13,서홍동,2366,340347734,숙박업,4,85086933.5,143000000,0.5950135209790209
23,외도동,14438,1162389360,숙박업,14,83027811.42857143,143000000,0.580614065934066
27,이도1동,17091,4411240130,숙박업,56,78772145.17857143,143000000,0.5508541620879122
7,도두동,3698,888650184,숙박업,17,52273540.23529412,143000000,0.3655492324146442
29,이호동,1838,475750163,숙박업,11,43250014.81818182,143000000,0.30244765607120155
22,오라동,3351,417766532,숙박업,13,32135887.07692308,143000000,0.22472648305540616
10,삼도1동,11816,1416966198,숙박업,50,28339323.96,143000000,0.19817709062937064
25,용담2동,4838,668931383,숙박업,24,27872140.95833333,143000000,0.1949100766317016
24,용담1동,2275,689467273,숙박업,25,27578690.92,143000000,0.1928579784615385
18,애월읍,40709,4734422761,숙박업,184,25730558.48369565,143000000,0.17993397541045908
14,성산읍,33535,2655277103,숙박업,111,23921415.342342343,143000000,0.16728262477162478
17,안덕면,44562,1833852801,숙박업,91,20152228.58241758,143000000,0.14092467540152154
33,조천읍,15423,2139127951,숙박업,108,19806740.28703704,143000000,0.13850867333592337
37,추자면,1137,192603130,숙박업,10,19260313.0,143000000,0.1346875034965035
12,삼양동,1235,165017212,숙박업,9,18335245.777777776,143000000,0.12821850194250192
40,한림읍,19133,1750567538,숙박업,110,15914250.345454546,143000000,0.11128846395422759
9,봉개동,908,57467815,숙박업,4,14366953.75,143000000,0.10046820804195804
2,남원읍,5592,686348805,숙박업,56,12256228.660714285,143000000,0.08570789273226773
8,동홍동,1264,96081586,숙박업,8,12010198.25,143000000,0.08398740034965035
38,표선면,4953,478412946,숙박업,40,11960323.65,143000000,0.08363862692307693
30,일도1동,3965,234818090,숙박업,24,9784087.083333334,143000000,0.0684201893939394
5,대정읍,7502,403459738,숙박업,60,6724328.966666668,143000000,0.04702327948717949
31,일도2동,2842,209819900,숙박업,41,5117558.536585365,143000000,0.03578712263346409
1,구좌읍,7307,486075860,숙박업,98,4959957.755102041,143000000,0.03468501926644784
42,효돈동,150,31457660,숙박업,7,4493951.428571428,143000000,0.03142623376623376
26,우도면,1765,69138450,숙박업,16,4321153.125,143000000,0.03021785402097902
39,한경면,546,52632390,숙박업,33,1594920.9090909092,143000000,0.011153293070565798
41,화북동,8,1660000,숙박업,2,830000.0,143000000,0.005804195804195804
