,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액
0,건입동,43016,3257280423,소매업,26,125280016.26923075
1,구좌읍,21145,1261604624,소매업,65,19409301.90769231
2,남원읍,35635,2529152776,소매업,108,23418081.259259254
3,노형동,239110,8147168916,소매업,68,119811307.58823527
4,대륜동,44888,2517893066,소매업,30,83929768.86666666
5,대정읍,98420,3142177332,소매업,71,44256018.76056338
6,대천동,46354,1848466593,소매업,29,63740227.34482759
7,도두동,14150,1714064327,소매업,18,95225795.94444443
8,동홍동,56704,2662252811,소매업,34,78301553.26470588
9,봉개동,10536,855920553,소매업,14,61137182.35714286
10,삼도1동,30477,2285440569,소매업,19,120286345.73684213
11,삼도2동,19596,1087400162,소매업,19,57231587.47368421
12,삼양동,66225,3427571436,소매업,28,122413265.57142857
13,서홍동,12467,388902780,소매업,18,21605710.0
14,성산읍,102066,4255104297,소매업,72,59098670.79166666
15,송산동,335860,15489261448,소매업,13,1191481649.8461535
16,아라동,124953,3833749382,소매업,45,85194430.71111111
17,안덕면,30741,1265710128,소매업,45,28126891.73333333
18,애월읍,75090,3103113694,소매업,108,28732534.203703705
19,연동,166569,5076470337,소매업,83,61162293.21686747
20,영천동,14091,1070352330,소매업,38,28167166.57894737
21,예래동,18742,843817073,소매업,15,56254471.53333333
22,오라동,34430,2480488238,소매업,28,88588865.64285715
23,외도동,55583,2735623539,소매업,16,170976471.1875
24,용담1동,35480,2864844919,소매업,27,106105367.37037036
25,용담2동,231377,8838732591,소매업,57,155065484.0526316
26,우도면,18492,346477879,소매업,6,57746313.16666666
27,이도1동,147990,7907317170,소매업,182,43446797.63736264
28,이도2동,262356,10624680860,소매업,62,171365820.32258064
29,이호동,8661,564700009,소매업,10,56470000.9
30,일도1동,190388,10177685060,소매업,96,106017552.70833331
31,일도2동,127028,4505475385,소매업,66,68264778.56060606
32,정방동,266155,11818142507,소매업,10,1181814250.7
33,조천읍,97606,3867895519,소매업,52,74382606.13461539
34,중문동,50987,2233422568,소매업,42,53176727.80952381
35,중앙동,266155,11818142507,소매업,53,222983820.88679245
36,천지동,278622,12207045287,소매업,11,1109731389.7272727
37,추자면,2008,193601370,소매업,5,38720274.0
38,표선면,68610,6203582231,소매업,86,72134677.10465117
39,한경면,13540,747803241,소매업,65,11504665.246153845
40,한림읍,69941,4227439932,소매업,90,46971554.8
41,화북동,76724,3691963422,소매업,28,131855836.5
42,효돈동,20406,791512463,소매업,30,26383748.766666666
