,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,창업비용,매출ratio,이용률
15,송산동,1166453,46442492375,음식,152,305542712.99342114,89000000,3.4330641909373165,7674.0328947368425
32,정방동,750942,29809504634,음식,143,208458074.3636364,89000000,2.3422255546476,5251.342657342658
35,중앙동,750942,29809504634,음식,155,192319384.73548388,89000000,2.160891963320044,4844.787096774194
36,천지동,892512,34056706726,음식,220,154803212.39090908,89000000,1.7393619369765063,4056.8727272727274
25,용담2동,867557,23630308510,음식,279,84696446.27240144,89000000,0.9516454637348476,3109.5232974910396
22,오라동,311415,10617321084,음식,148,71738655.97297297,89000000,0.8060523143030671,2104.1554054054054
16,아라동,925126,29228334363,음식,454,64379591.10792951,89000000,0.7233661922239271,2037.7224669603524
3,노형동,1683874,62259327325,음식,861,72310484.69802555,89000000,0.8124773561575905,1955.718931475029
28,이도2동,1647091,54376564794,음식,981,55429729.65749236,89000000,0.6228059512077794,1678.9918450560651
0,건입동,265969,10241713311,음식,159,64413291.26415094,89000000,0.7237448456646173,1672.7610062893082
31,일도2동,555724,19218457275,음식,373,51524014.14209116,89000000,0.5789215072145074,1489.876675603217
12,삼양동,341958,10415464510,음식,232,44894243.57758621,89000000,0.5044297031189462,1473.9568965517242
13,서홍동,141570,4247202092,음식,98,43338796.85714286,89000000,0.4869527736757625,1444.591836734694
19,연동,1436390,64812675826,음식,1062,61028884.95856874,89000000,0.6857178085232443,1352.5329566854991
41,화북동,298598,9245094365,음식,229,40371591.11353712,89000000,0.4536133832981698,1303.9213973799126
30,일도1동,227720,6157800415,음식,180,34210002.30555555,89000000,0.3843820483770287,1265.111111111111
6,대천동,253662,7763452365,음식,205,37870499.34146342,89000000,0.4255112285557687,1237.3756097560977
21,예래동,296492,15931114861,음식,241,66104211.04149377,89000000,0.7427439442864469,1230.2572614107885
8,동홍동,341585,12936133704,음식,284,45549766.56338028,89000000,0.5117951299256212,1202.7640845070423
34,중문동,329778,16097991716,음식,281,57288226.74733096,89000000,0.6436879409812468,1173.5871886120997
11,삼도2동,235646,9630707934,음식,215,44793990.39069767,89000000,0.5033032628168278,1096.0279069767441
4,대륜동,319039,10766246889,음식,295,36495752.166101694,89000000,0.4100646310797943,1081.4881355932202
20,영천동,82794,4094399458,음식,77,53174018.93506493,89000000,0.5974608869108419,1075.2467532467533
23,외도동,317892,10493142788,음식,302,34745505.920529805,89000000,0.3903989429273012,1052.6225165562914
18,애월읍,779295,27625790107,음식,843,32770806.769869514,89000000,0.36821131202100577,924.4306049822064
42,효돈동,84083,2681782488,음식,91,29470137.23076923,89000000,0.3311251374243733,923.989010989011
9,봉개동,63636,1973217774,음식,71,27791799.633802816,89000000,0.312267411615762,896.2816901408451
29,이호동,60447,2869628867,음식,70,40994698.1,89000000,0.4606145853932585,863.5285714285715
10,삼도1동,155945,5315152673,음식,181,29365484.38121547,89000000,0.3299492627102862,861.5745856353591
33,조천읍,564517,21772785446,음식,673,32351835.72956909,89000000,0.3635037722423493,838.8068350668648
14,성산읍,498418,21124443200,음식,609,34687098.85057471,89000000,0.3897426837143226,818.4203612479474
27,이도1동,182948,5969878419,음식,234,25512300.93589744,89000000,0.2866550666954769,781.8290598290598
5,대정읍,387009,16160133495,음식,502,32191500.986055776,89000000,0.3617022582702896,770.9342629482072
17,안덕면,389961,17437156423,음식,521,33468630.37044146,89000000,0.3760520266341737,748.485604606526
40,한림읍,519215,19900977488,음식,724,27487537.96685083,89000000,0.3088487412005711,717.1477900552486
7,도두동,121244,7995125170,음식,177,45170198.70056497,89000000,0.5075303224782581,684.9943502824859
26,우도면,121016,3358090724,음식,183,18350222.535519127,89000000,0.2061822756799902,661.2896174863388
1,구좌읍,447485,14913255443,음식,693,21519849.124098126,89000000,0.24179605757413625,645.7215007215008
24,용담1동,97527,5218747039,음식,165,31628769.93333333,89000000,0.35537943745318346,591.0727272727273
38,표선면,232922,11450003400,음식,425,26941184.47058824,89000000,0.302709937871778,548.0517647058823
2,남원읍,195633,8018719536,음식,380,21101893.515789475,89000000,0.237099927143702,514.8236842105263
39,한경면,137624,5391205214,음식,300,17970684.046666667,89000000,0.2019177982771536,458.74666666666667
37,추자면,12562,823879788,음식,48,17164162.25,89000000,0.19285575561797752,261.7083333333333
